[init] loading up to 40 councils with blind ratings
[init] 40 councils remaining to process
[1/40] 185944 — rated 2 agents (47.2s)
[2/40] 195555 — rated 2 agents (19.5s)
[3/40] 180038 — rated 2 agents (15.1s)
[4/40] 003644 — rated 2 agents (75.6s)
[5/40] 231626 — rated 2 agents (13.1s)
[6/40] 160822 — rated 2 agents (34.2s)
[7/40] 003930 — rated 2 agents (18.1s)
[8/40] 235726 — rated 2 agents (21.0s)
[9/40] 201828 — rated 2 agents (16.1s)
[10/40] 161957 — rated 2 agents (33.4s)
[11/40] 155615 — rated 2 agents (17.3s)
[12/40] 153024 — rated 2 agents (26.4s)
[13/40] 010140 — rated 2 agents (39.1s)
[14/40] 004329 — rated 2 agents (20.5s)
[15/40] 184550 — rated 2 agents (22.4s)
[16/40] 235703 — rated 2 agents (89.1s)
[17/40] 193513 — rated 2 agents (16.0s)
[18/40] 144859 — rated 2 agents (43.0s)
[19/40] 183440 — rated 2 agents (25.2s)
[20/40] 144943 — rated 2 agents (20.5s)
[21/40] 012610 — rated 2 agents (16.3s)
[22/40] 234850 — rated 2 agents (123.4s)
[23/40] 200135 — rated 2 agents (16.6s)
[24/40] 173050 — rated 2 agents (25.7s)
[25/40] 140506 — rated 2 agents (27.8s)
[26/40] 135044 — rated 2 agents (18.6s)
[27/40] 112952 — rated 2 agents (15.7s)
[28/40] 122353 — rated 2 agents (15.2s)
[29/40] 003042 — rated 2 agents (15.5s)
[30/40] 232316 — rated 2 agents (23.1s)
[31/40] 220018 — rated 2 agents (42.5s)
[32/40] 194018 — rated 2 agents (9.9s)
[33/40] 104945 — rated 2 agents (22.9s)
[34/40] 000355 — rated 2 agents (63.1s)
[35/40] 212052 — rated 2 agents (59.6s)
[36/40] 192519 — rated 2 agents (38.1s)
[37/40] 134611 — rated 2 agents (134.9s)
[38/40] 221935 — rated 2 agents (17.0s)
[39/40] 122904 — rated 2 agents (38.0s)
[40/40] 114641 — rated 2 agents (41.2s)

[done] wrote /Users/rsboarder/workspace/owlex/scripts/shadow_results/rater_replay.jsonl
[done] wrote /Users/rsboarder/workspace/owlex/scripts/shadow_results/rater_summary.md
