[resume] 0 councils already processed
[init] loading up to 40 councils with blind ratings + >=3 seats
[init] 40 councils remaining (effort=low, model=grok-4.5)
[1/40] 195002 — len=12244 cb=6 fr=6 (114.4s)
[2/40] 162255 — len=11154 cb=1 fr=0 (62.5s)
[3/40] 143342 — len=16989 cb=5 fr=4 (182.2s)
[4/40] 221858 — len=17048 cb=0 fr=5 (178.6s)
[5/40] 235145 — len=16730 cb=1 fr=2 (83.6s)
[6/40] 231438 — len=9356 cb=0 fr=9 (158.2s)
[7/40] 210711 — len=15815 cb=0 fr=0 (60.5s)
[8/40] 192846 — len=21052 cb=0 fr=9 (81.6s)
[9/40] 161139 — len=12977 cb=7 fr=4 (58.8s)
[10/40] 144014 — len=11660 cb=3 fr=0 (53.5s)
[11/40] 114332 — len=10710 cb=0 fr=0 (41.2s)
[12/40] 224913 — error: timeout after 300s (300.0s)
[13/40] 005936 — len=14544 cb=0 fr=0 (110.2s)
[14/40] 233423 — len=4484 cb=0 fr=4 (67.2s)
[15/40] 124243 — len=9259 cb=0 fr=0 (39.8s)
[16/40] 010006 — len=14489 cb=0 fr=1 (78.3s)
[17/40] 230502 — len=15741 cb=1 fr=1 (124.8s)
[18/40] 232043 — len=12412 cb=0 fr=0 (105.9s)
[19/40] 191908 — len=12182 cb=0 fr=0 (54.1s)
[20/40] 190956 — len=6065 cb=1 fr=0 (25.6s)
[21/40] 184306 — len=12256 cb=0 fr=0 (86.0s)
[22/40] 214308 — len=6126 cb=1 fr=2 (45.3s)
[23/40] 002741 — len=14718 cb=0 fr=1 (86.6s)
[24/40] 001104 — len=16493 cb=5 fr=7 (88.4s)
[25/40] 234424 — len=15501 cb=1 fr=16 (51.5s)
[26/40] 223021 — len=12544 cb=1 fr=0 (69.2s)
[27/40] 175124 — len=15583 cb=0 fr=1 (85.2s)
[28/40] 000719 — len=11132 cb=0 fr=0 (68.0s)
[29/40] 211549 — len=12511 cb=8 fr=0 (36.8s)
[30/40] 102358 — len=14780 cb=6 fr=12 (93.3s)
[31/40] 014015 — len=13712 cb=3 fr=4 (98.9s)
[32/40] 001535 — len=12820 cb=3 fr=31 (99.5s)
[33/40] 213149 — len=16233 cb=0 fr=2 (66.7s)
[34/40] 002039 — len=9640 cb=1 fr=1 (51.7s)
[35/40] 123537 — len=9558 cb=2 fr=8 (82.4s)
[36/40] 232853 — len=9688 cb=0 fr=2 (92.2s)
[37/40] 231120 — len=10799 cb=0 fr=28 (81.0s)
[38/40] 000433 — len=11236 cb=0 fr=28 (67.7s)
[39/40] 203956 — len=8402 cb=0 fr=1 (62.2s)
[40/40] 142606 — len=10511 cb=7 fr=11 (60.8s)

[done] wrote /Users/rsboarder/workspace/owlex/scripts/shadow_results/seat_r1_responses.jsonl
[done] wrote /Users/rsboarder/workspace/owlex/scripts/shadow_results/seat_r1_metrics.md
